candidate_id,Employer,Type,Company credit,Current job years,Average time,Seniority,Moving
2176110,Epson Electronics America,2,0,16.5,3.8,5,0
2176110,Gham Power,1,0,3.5,3.8,2,0
2176110,Silicon Pacific,2,0,2,3.8,2,1
2176110,Toshiba Electronics America,2,0,2,3.8,2,1
2176110,Koge-Cho Board of Education,2,0,3,3.8,2,1
2176110,Marshall Industries,0,1,1.5,3.8,4,1
2176110,QuadRep,1,0,1,3.8,4,1
2176110,"Progressive English Language Institute, Battisputali, Kathmandu Nepal",2,0,0.5,3.8,0,1
2176109,Kings College Hospital,2,0,2,1.2,2,0
2176109,Exchange Group,1,0,1,1.2,2,1
2176109,Adventure001,2,0,0.5,1.2,2,1
2176108,Informatica,1,1,4,2.8,2,0
2176108,Yahoo !,0,1,4,2.8,2,1
2176108,Inference,1,0,7,2.8,2,1
2176108,Mazagaon Docks Ltd,2,0,2,2.8,2,1
2176107,0ughty Dog,0,0,2.5,4.9,2,0
2176107,Darwin Game Studio,2,0,3,4.9,2,0
2176107,Respawn Entertainment,1,0,2,4.9,2,1
2176107,3 Designer,2,0,12,4.9,2,1
2176106,Sony Music Entertainment,0,1,1.5,2.8,4,0
2176106,Le Maine,2,0,7.5,2.8,2,0
2176106,Spinnup//Universal,0,0,1,2.8,2,1
2176106,Chi0 Teatern,2,0,1,2.8,2,1
2176105,IBM,0,2,1,1,2,0
2176105,Carnegie Mellon University,2,0,1.5,1,0,1
2176105,IBM,0,2,0.5,1,0,1
2176105,State Key Laboratory of Intelligent Technology and Systems,2,0,1,1,0,1
2176104,Hera PR & Kommunikation,2,0,2,2.63,2,0
2176104,Turner Broadcasting,2,0,3.5,2.63,4,1
2176104,MMG / NonStop Entertainment / NonStop Television,1,0,4,2.63,4,1
2176104,TV4,2,0,1,2.63,2,1
2176103,Razorfish,0,1,2,2.25,2,0
2176103,U.S. Bank,0,1,1,2.25,2,1
2176103,Wipro Technologies,2,0,1,2.25,2,1
2176103,L&T Infotech,2,0,5,2.25,2,1
2176102,SAP,0,1,1,6.5,2,0
2176102,OoCFO solutions at SAS,2,0,12,6.5,2,1
2176101,0tio0l Instruments,0,1,1,2.58,4,0
2176101,Contract/Freelance,0,0,6.5,2.58,2,0
2176101,Adonit,1,0,1,2.58,2,1
2176101,Whole Foods Market,0,2,2,2.58,2,1
2176101,in.gredients,2,0,2,2.58,5,1
2176101,Praecipio Consulting,1,0,3,2.58,2,1
2176100,LaSoft,2,0,3,4,2,0
2176100,Plaisio Computers,2,0,5,4,2,1
2176099,Fiserv - Enterprise Technology,0,2,4,2.58,5,0
2176099,Technology Association of Georgia,2,0,4,2.6,5,0
2176099,Fiserv - Biller Solutions,0,2,4,2.6,5,1
2176099,Synovus,0,0,2,2.6,2,1
2176099,United Way of Tampa Bay,1,0,1,2.6,5,1
2176099,Ceridian - Benefits Solutions,1,1,2,2.6,5,1
2176099,TSYS Acquiring Solutions,0,1,5,2.6,5,1
2176099,Outerbounds Technologies,1,0,1,2.6,2,1
2176099,Aflac,0,2,2,2.6,5,1
2176099,CitiStreet,1,0,3,2.6,4,1
2176099,Barnett Banks,1,0,1,2.6,4,1
2176099,IBM,0,2,2,2.6,2,1
2176098,Accommodations Plus Inter0tio0l,1,0,2,3.5,2,0
2176098,"Honeywell Technology Solutions, Inc.",0,0,3,3.5,2,1
2176098,Centec Innovation,1,0,3,3.5,2,1
2176098,EDS,1,0,6,3.5,2,1
